task,model,overlap,within_cat_r,between_cat_r,procrustes,cat_score_1,cat_score_2,iter,mean_cat_score,min_cat_score
label,B3,41.665,0.26566425743229966,0.4972862109253856,0.3276517467585804,3.258656060587424,3.2345622156887694,3,3.246609138138097,3.2001942042952436
label,B4,41.665,0.2537696262288179,0.5156124681589447,0.3110943826003259,3.3361790066690764,3.3328750399709612,4,3.334527023320019,3.2317145825355134
label,B5,41.665,0.2843845281502052,0.2820660826499921,0.367184919384127,2.947742592142286,3.1688032005740503,5,3.0582728963581682,2.926514480429958
label,B6,41.665,0.1485999255270423,0.5851068888223744,0.3766349615352335,2.822543462822958,3.148122395684368,6,2.985332929253663,2.8011851468318776
label,B7,41.665,0.24655938904678149,0.5259848217040073,0.35448635362527037,3.1295338901678518,3.0686133968330846,7,3.099073643500468,3.0686133968330846
label,B8,41.665,0.25813554210101425,0.3757672103154346,0.29822527466076554,3.0316163150799875,3.1434991200612066,8,3.087557717570597,2.9610793043169816
label,B9,41.665,0.12988047513603293,0.45563911870907514,0.35216556136579164,3.0239459830266364,3.115939526438309,9,3.0699427547324727,2.9936685553668254
label,C0,16.665,0.26517313829471656,0.40515815014706325,0.3681178171982873,3.21682726266493,2.9764467484888115,0,3.096637005576871,2.9764467484888115
label,C1,16.665,0.0971774979571004,0.4133082984088605,0.4192336162463989,2.8784452658323465,3.110614620433778,1,2.9945299431330623,2.8784452658323465
label,C2,16.665,0.07442288191125908,0.4285428914216457,0.3784097799503201,3.1058534627177794,3.1390173284457,2,3.1224353955817397,3.067035037131803
label,C3,16.665,0.12828295201019227,0.4552787995005172,0.38793995458265196,3.258656060587424,3.176100359396589,3,3.2173782099920065,3.176100359396589
label,C4,16.665,0.16766584989912575,0.47333155207020017,0.35924411296673714,3.3361790066690764,3.228410615837398,4,3.2822948112532373,3.228410615837398
label,C5,16.665,0.09672041234880567,0.24569789330420866,0.41618929189977893,2.947742592142286,3.1475750888617218,5,3.047658840502004,2.926514480429958
label,C6,16.665,0.06513750133060056,0.3995658928954513,0.4370747678846588,2.822543462822958,3.1267640796932867,6,2.9746537712581227,2.8011851468318776
label,C7,16.665,0.16041824307645447,0.4193175332641029,0.3874835702583803,3.1295338901678518,3.0361463548836283,7,3.08284012252574,3.0361463548836283
label,C8,16.665,0.11727009323973162,0.3084466780914592,0.3516914331895961,3.0316163150799875,3.0729621092982007,8,3.052289212189094,2.9610793043169816
label,C9,16.665,0.08690347253293006,0.39046772401983476,0.3750570250453489,3.0239459830266364,3.2382104975097925,9,3.1310782402682147,3.0239459830266364
label_and_triplet,A0,50.0,0.3486875614091338,0.2257748192404314,0.48547015380024505,2.1398629402292846,2.498973718885177,0,2.319418329557231,2.1398629402292846
label_and_triplet,A1,50.0,0.3674964156036536,0.3348838182143245,0.36653424850507105,2.4604132935800545,2.7817890306384307,1,2.6211011621092424,2.4604132935800545
label_and_triplet,A2,50.0,0.27102687143816023,0.26708397411942014,0.3803241803108622,2.5521640051258703,2.6554663152509206,2,2.6038151601883954,2.5075100953674627
label_and_triplet,A20,100.0,0.5139973785719285,0.32043381208712535,0.37358639604966165,2.1398629402292846,2.53812629245876,0,2.3389946163440225,2.1398629402292846
label_and_triplet,A21,100.0,0.622808570624426,0.43649761954940625,0.2999835521746219,2.4604132935800545,2.4614115908611636,1,2.460912442220609,2.4604132935800545
label_and_triplet,A22,100.0,0.47092945745958675,0.32175416913595234,0.3235947033828877,2.5521640051258703,2.599374021084673,2,2.5757690131052717,2.5521640051258703
label_and_triplet,A23,100.0,0.7823634981998006,0.7017850084804368,0.16804788467656268,2.3396364627169683,2.476687109372727,3,2.4081617860448477,2.3396364627169683
label_and_triplet,A24,100.0,0.4904041831201548,0.5084741893250736,0.25733509941397786,2.425791491884122,2.765180915027197,4,2.5954862034556596,2.425791491884122
label_and_triplet,A25,100.0,0.45360965285301263,0.4337975113601964,0.3265306752778183,2.4989741325830974,2.6284463125359245,5,2.5637102225595108,2.4989741325830974
label_and_triplet,A26,100.0,0.6010338488954061,0.36103912122125503,0.29351831428724945,2.3253477593109424,2.4065079703798804,6,2.3659278648454114,2.3253477593109424
label_and_triplet,A27,100.0,0.4977482319933672,0.27370844775971803,0.29823883935849466,2.859412662653192,2.57850257158437,7,2.718957617118781,2.57850257158437
label_and_triplet,A28,100.0,0.5166019263879262,0.35127232542844156,0.3641141606792365,2.3055722396474576,2.2924847783340097,8,2.299028508990734,2.2924847783340097
label_and_triplet,A29,100.0,0.41504935835929785,0.19853795110293776,0.38682265138981176,2.885635384965026,2.3763222007133544,9,2.63097879283919,2.3763222007133544
label_and_triplet,A3,50.0,0.4735391936453091,0.45289834142667756,0.3374910690540851,2.3396364627169683,2.5197965215792064,3,2.429716492148087,2.3396364627169683
label_and_triplet,A4,50.0,0.3490462590173072,0.4284608521292054,0.3349102062979097,2.425791491884122,2.5625844793668846,4,2.4941879856255036,2.425791491884122
label_and_triplet,A5,50.0,0.33078843090754856,0.3211006411015423,0.4001015304622966,2.4989741325830974,2.6137286554774595,5,2.5563513940302784,2.460666559854888
label_and_triplet,A6,50.0,0.36691672206935566,0.2506660064926433,0.4624211877635884,2.3253477593109424,2.5359542415184735,6,2.430651000414708,2.309887655662399
label_and_triplet,A7,50.0,0.3687964224140772,0.21991356986572297,0.3224350257811195,2.859412662653192,2.5895187798214305,7,2.7244657212373116,2.581073987176423
label_and_triplet,A8,50.0,0.3700784002780904,0.2188432859914827,0.49320105276808707,2.3055722396474576,2.273479088100067,8,2.2895256638737624,2.273479088100067
label_and_triplet,A9,50.0,0.32730581131563447,0.13876746975489115,0.4150499314276817,2.885635384965026,2.2676163077802594,9,2.5766258463726426,2.2676163077802594
label_and_triplet,B0,41.665,0.23710350134232738,0.16151048990475658,0.4927226656807203,2.3992441000748084,2.479397432098386,0,2.439320766086597,2.2200162722528622
label_and_triplet,B1,41.665,0.17280143591634697,0.30999715713853315,0.3385656011204057,2.869482042874383,2.941977750527064,1,2.9057298967007235,2.5329090012327358
label_and_triplet,B2,41.665,0.19951597996395823,0.25018663507580174,0.42398502414640094,2.4851831404882585,2.6835124623340443,2,2.5843478014111514,2.4182022758506467
label_and_triplet,B3,41.665,0.30613250158304584,0.32468894536996656,0.41219407329294444,2.3715149035613905,2.541351227682446,3,2.456433065621918,2.3715149035613905
label_and_triplet,B4,41.665,0.3362608944185176,0.36559714186793735,0.3527713179474735,2.432667975446682,2.4612862615367286,4,2.4469771184917053,2.432667975446682
label_and_triplet,B5,41.665,0.30586534450533215,0.35599745242167224,0.4150360522085934,2.4415127734907838,2.606369826948227,5,2.5239413002195055,2.3840514143984697
label_and_triplet,B6,41.665,0.24016458331049872,0.16735816902849163,0.513721243912621,2.3021576038381273,2.60067737708777,6,2.4514174904629487,2.2789674483653117
label_and_triplet,B7,41.665,0.33526605773764495,0.20141763300575088,0.3596852484540999,2.872079851620703,2.5950268839399606,7,2.733553367780332,2.5823596949724497
