m1,m2,task,overlap,within_cat_r,between_cat_r,procrustes,cat_score_1,cat_score_2,iter,mean_cat_score,min_cat_score
A8,A28,label,100.0,0.5682995638504063,0.4807654032129532,0.2524966306362946,2.8491964993357626,3.1631774480061754,8,3.006186973670969,2.8491964993357626
A9,B9,label,50.0,0.1710687306792465,0.4995836125957814,0.3222919124528052,3.0542234106864474,2.9936685553668254,9,3.0239459830266364,2.9936685553668254
A9,C9,label,0.0,0.08511472547304073,0.36924082321730073,0.36807483981191974,3.0542234106864474,3.2382104975097925,9,3.14621695409812,3.0542234106864474
B9,C9,label,33.33,0.08869221959281938,0.41169462482236885,0.3820392102787781,2.9936685553668254,3.2382104975097925,9,3.115939526438309,2.9936685553668254
A9,A29,label,100.0,0.6846153127004665,0.41910758625733935,0.211818727383663,3.0542234106864474,3.169565773370485,9,3.111894592028466,3.0542234106864474
A0,B0,label_and_triplet,50.0,0.3494686277890476,0.17849470509083687,0.4719583267513343,2.1398629402292846,2.6586252599203317,0,2.3992441000748084,2.1398629402292846
A0,C0,label_and_triplet,0.0,0.18259667786642542,0.17839594054333208,0.6108657385997392,2.1398629402292846,2.3001696042764403,0,2.2200162722528622,2.1398629402292846
B0,C0,label_and_triplet,33.33,0.12473837489560716,0.1445262747186763,0.5134870046101063,2.6586252599203317,2.3001696042764403,0,2.479397432098386,2.3001696042764403
A0,A20,label_and_triplet,100.0,0.5139973785719285,0.32043381208712535,0.37358639604966165,2.1398629402292846,2.53812629245876,0,2.3389946163440225,2.1398629402292846
A1,B1,label_and_triplet,50.0,0.2637528060863657,0.39383600732303337,0.3338633763775876,2.4604132935800545,3.2785507921687116,1,2.869482042874383,2.4604132935800545
A1,C1,label_and_triplet,0.0,0.21592787010016923,0.17431782777053378,0.46575581696300367,2.4604132935800545,2.6054047088854166,1,2.5329090012327358,2.4604132935800545
B1,C1,label_and_triplet,33.33,0.08185006574632826,0.22615830695403294,0.3432678258632237,3.2785507921687116,2.6054047088854166,1,2.941977750527064,2.6054047088854166
