,task,accuracy,dataset,iter,categoricality
51,label,0.8958333333333334,A,4,2.1792277065830743
52,label_and_triplet,0.875,A,4,1.8759814566893844
53,triplet,0.2791666666666667,A,4,1.204044510958835
54,label,0.9395833333333333,B,4,2.2320007153765995
55,label_and_triplet,0.89375,B,4,1.8614880361873989
56,triplet,0.2375,B,4,1.1711868028548067
57,label,0.9083333333333333,C,4,2.153576571015272
58,label_and_triplet,0.88125,C,4,1.8592893109540647
59,triplet,0.24375,C,4,1.197193851635216
60,label,0.8958333333333334,A2,5,2.1096444523151368
61,label_and_triplet,0.9270833333333334,A2,5,1.8804953278955021
62,triplet,0.2708333333333333,A2,5,1.1761835058673946
63,label,0.8958333333333334,A,5,2.0012321670186193
64,label_and_triplet,0.8770833333333333,A,5,1.8513866572813678
65,triplet,0.22916666666666666,A,5,1.209853998065073
66,label,0.9333333333333333,B,5,2.12802624322213
67,label_and_triplet,0.8916666666666667,B,5,1.8345409235001737
68,triplet,0.25833333333333336,B,5,1.1869762379283073
69,label,0.8833333333333333,C,5,2.1107721777164774
70,label_and_triplet,0.9104166666666667,C,5,1.9391419946062542
71,triplet,0.19375,C,5,1.2752855295494645
72,label,0.88125,A2,6,1.9902436887641628
73,label_and_triplet,0.8854166666666666,A2,6,1.922855173735037
74,triplet,0.275,A2,6,1.17942142081386
75,label,0.8958333333333334,A,6,1.8746378512246706
76,label_and_triplet,0.86875,A,6,1.819662526410133
77,triplet,0.15416666666666667,A,6,1.1987760193706274
78,label,0.8895833333333333,B,6,2.081973488279155
79,label_and_triplet,0.8479166666666667,B,6,1.7670412003640685
80,triplet,0.24166666666666667,B,6,1.1890445065537283
81,label,0.9166666666666666,C,6,2.085236238220549
82,label_and_triplet,0.9125,C,6,1.9745757281498881
83,triplet,0.25833333333333336,C,6,1.2379745736258299
84,label,0.89375,A2,7,2.1613976662074994
85,label_and_triplet,0.9166666666666666,A2,7,1.8674620910610904
86,triplet,0.17291666666666666,A2,7,1.200395940981739
87,label,0.9125,A,7,2.1403046946138757
88,label_and_triplet,0.9770833333333333,A,7,2.0645923217993785
89,triplet,0.31875,A,7,1.1821117118914517
90,label,0.9,B,7,2.120303598753374
91,label_and_triplet,0.9270833333333334,B,7,2.0186190381641897
92,triplet,0.17708333333333334,B,7,1.196805786663013
93,label,0.9125,C,7,2.103959664523749
94,label_and_triplet,0.8354166666666667,C,7,1.7544927668355987
95,triplet,0.36666666666666664,C,7,1.2355114384899293
96,label,0.9041666666666667,A2,8,2.1527498897956945
97,label_and_triplet,0.8833333333333333,A2,8,1.859422849242794
98,triplet,0.23125,A2,8,1.1816045307162848
99,label,0.9,A,8,2.032759263353417
100,label_and_triplet,0.8875,A,8,1.7593038710358457
101,triplet,0.2375,A,8,1.1795697358604853
102,label,0.9395833333333333,B,8,2.1381247273766277
103,label_and_triplet,0.8604166666666667,B,8,1.7666436376600154
104,triplet,0.28958333333333336,B,8,1.171883422797773
105,label,0.8833333333333333,C,8,2.0805684779888147
106,label_and_triplet,0.8645833333333334,C,8,1.7700396501614066
107,triplet,0.28125,C,8,1.2844019317897857
108,label,0.9145833333333333,A2,9,2.222629243555746
109,label_and_triplet,0.8770833333333333,A2,9,1.798609032455329
110,triplet,0.14375,A2,9,1.1907553306819005
111,label,0.9125,A,9,2.0869280741864955
112,label_and_triplet,0.9270833333333334,A,9,2.04274183429639
113,triplet,0.25,A,9,1.1597275099351547
114,label,0.8958333333333334,B,9,2.021686761370136
115,label_and_triplet,0.8604166666666667,B,9,1.7266827011623596
116,triplet,0.24583333333333332,B,9,1.1657113800876495
117,label,0.9166666666666666,C,9,2.214297165435317
118,label_and_triplet,0.8458333333333333,C,9,1.741182167715647
119,triplet,0.28958333333333336,C,9,1.2891175821852692
